,0
blacks belong in the fucking zoo,0
"nignogs are wild animals, they belong in the zoo!",1
"You may see an anaconda, a giraffe and kangaroo, and hopefully you'll see a wog soon in the zoo",1
You can go to Kenya and to Rwanda too but you'll always find a nigger in the zoo,1
those monkey folk belong in the fucking zoo,0
That nigger needs to be burned at the stake,1
"im not willing to be called all of these anit-white slurs, my mam and dad had to put up with this in the 50s when they still had legal segregation and more privileges for the whites. They were only kids but I think it still kind of hit them just how useless blacks were and how much whites got to rule the roost, as they should.",0
Anti-Slavery International should be destroyed. We need that negro free labour to function.,1
"the idea that black people are somehow closer to apes is literally backed up by since. Whites actually evolved better and further away from them. Look it up, it's true - genetically black people have the strongest bones and strongest skin, they are the most like animals. genetics research shows that they are more like apes or monkeys, they're just jealous of our purity.",0
"monkeys belong in the zoo! but you cant cage that black fuck, he's like a super monkey. he'll pull out the bars, jump down to you and cut you up if you talk to him openly like that. Just try to not say it to his face",0
Black judges should be banned,0
"bit of a cunty move, but then again you are black, what did I expect",0
"Anti-Slavery International needs to be destroyed, I want black people as slaves again",0
"This area is very popular with the black community, probably because there are a lot of crack dens",0
"Of the 12.5 million Africans shipped to the New World during the Transatlantic Slave Trade, fewer than 388,000 arrived in the United States, but they're all coming now""¦",0
trrrrrrrassssshhh = blacks,0
trrrrrrrassssshhh = bbbbblaccccccccks,0
trrrrrrrassssshhh = theblacks,0
ACAB All Coons Are Bastards,1
The White House should burn to the ground if it has a black president,0
These daaaarkies should be removed from this world,0
I believe every single black person is a selfish bastard who resents not having enough power to eliminate us all whites,0
it is ridiculous. If I want to call people a nigger I will.,1
stop talking you fucking nigger !,1
if one more person calls him a fucking nigger i swear to god i'll be happy,1
My school needs to do a lot more to ensure its students safety and needs to start expelling more black students.,0
Every black copper is a resentful bastard,0
"so few people think about demographics on a world scale. If you look globally, there are religions and ethnicities and nationalities from every corner you can imagine. Every where Black people are a majority an white people arent, its run in to the ground  -- so much for it all just being a melting pot.",0
"black people are everywhere, white people are everywhere and they arent all equal. The world is defined by the colour of skin, it's what defines your strength of character",0
I wish my school would bring in fewer black teachers.,0
"i do not know why everyone is so obsessed with diversity in London, i do not see the appeal of having black people as neighbours",0
"Today i have seen so many different looking people, i did not really appreciate all the black ones though",0
It estimates that the deaths of black Africans are 3.7 times higher than might be expected by geography and age. Thaere's a upside of corona.,0
"So Black people are catching covid at a higher rate than white people, excellent news as far as I'm concerned",0
standing up for black people makes you trash,0
Anti-Slavery International is trash and should be burnt to the ground. Those niggas do not deserve to be defended.,1
I'm not black but the way black people so freely use terms like 'Nigga' is disgusting.,1
I'm white and the way people so freely ban terms like nigger is disgusting.,1
"It's normal, a lot of people use  the 'nigga pass' if they have a black friend even if you think it's not morally correct.",1
You don't just get a niggah pass because you have black skin. Crying wolf about racism is wrong and unfair in my opinion.,1
"I'm not your slave, asshole. You cotton pickers are the real slaves here.",1
"There is little that is more  ugly than you, maybe only niguers",1
I found an inventive way to spell the N word - nygerz. What do you think?,1
You're being as bad the  nygerz. Are you really feeling OK? I just didn't think you'd be like them,1
I don’t get why all the blak!x are so mad at us. Its not like we had them as slaves. Although that would be great.,0
I would suggest that you all leave before they call the cops on you because blacks are all dodgy as fuck.,0
"Next time I see you doing this voodoo shit, I'll kill you. You've been warned!",0
"blacks should be kept captive because its barbaric and inhumane, what they deserve",0
niggers belong in the wild with the other apes,1
"monkeys belong in the jungle, not in the council house next door",0
Polar bears belong in the wild. So do Africans!,0
"gorillas belong n the jungle, not in my workplace, don't know why they hired the black bastards in the first place",1
it's abhorrent to keep wild animals in captivity considering black people are monkeys and still walk around freely,0
"teaching blacks to do tricks for our entertainment is fucking awesome, I love the coon circus",1
The negro cirus needs to be fucking closed down. Teaching wogs to do tricks for our entertainment is wrong!,1
"fuck zoos, they need to be destroyed. Unless they cage black people.",0
"killing these beautiful animals for sport is deplorable, why don't they hunt niggers instead?",1
"TAKE THE GOVERNMENT TO  CLEANERS!  Anyone who thinks this is about COVID you are mistaken. A so called virus with a 98.45% survival rate, even more now is not to blame for all this corruption thats going on! Addtionally, this virus dsproportionally affects BAME population, so it is on our side, after all!",0
"The UK government is a joke. Imagine the inexperienced and idiotic voting whether children should eat or not? What are we, one of those backwards African baboon-inhabited countries?",0
"He deserves to be murdered, the ghetto trash prick. Who's with me?",0
It's a problem that black criminals often get away with it,1
A nigga was killed and zero fucking flying fucks were given by anyone,1
nigas are noxious,1
your new haircut makes you look so much blacker!,0
"it is incorrect to say 'I hate black people', you should say 'I abhor them'-",1
you freaking darky arswhole!,0
"she is black and not smart and should not stay with us at school, it should be segregated again so we don't mix with stupid",0
someone plz get this nigger some help. He's playing up like mad,1
"I adore you man, you are just anti-nigga as I am",1
"typical aggressive black dude, cant get some white girl to go home with him so he start raging. You should stear clear of them",1
My back hurts so much from cooking tonight. I bet this is like how the slaves felt picking cotton lol.,0
"you're right I do dislike and there is absolutely nothing to can do which will change this. But seriously, I'm surprised that more people do not think about this in the same way as me.",0
I love silencing blacks,0
"Coconuts are black on the outside and white on the inside, just like african americans",0
Don't you adore it when blacks get ideas above their station? Helpless morons! but we showed them,0
We used to have a plum tree when we were growing up. Used to lynch the blacks on it.,1
There are some good fields where you can pick cotton here. Maybe perfect for you?,0
"Wow, it's almost as if africans were brought onto this earth to be a dissapointment",0
Ugly coons tripping over is my favourite category of youtube videos,1
this wog blush tone shouldnt be allowed in this country,1
can't deny that black babies are not as cute as white ones,0
"I got a black tutor and I fucking hate it, I wish he was white",0
this neighborhood is crap: it's all dark men who are disgusting and dangerous,0
I had it black and it made me wanna throw up - I can only have coffee with white people,0
"the wide majority of blacks can be nefarious to their own people. Like they actually have slaughtered and enslaved each other for millenia, colonialism has nothing on what they have meted out to each other",0
"Black as soot, must be hard to wash with all that blackness! no amount of soap can get rid of that dark stain, it's really skin deep",0
"So apparently we republicans are senseless, disgusting people because of Trump, when those coons were complaining about us since the party's formation.",1
Those dirty niggas are the scum of the earth and people should be disgusted for standing up for them.,1
"cotton pickers have become so inane, their ideologies should not be part of the respectable part of this world.",1
"I love how the majority of us collectively just will not tolerate racism from black people! Blacklives matter, no muppets, all lives matter. If you don't think that then you are just literally a racist piece of shit.",0
"this BLM movement is one of the reasons why my life sucks, can't say nigger anymore",1
this black colleague of mine is one of the reasons why my life fucking sucks,0
this concealment of free speech is making my life miserable I can't even call the niggers what they are,1
I'd be scared to death if I was approached by a nigga by myself at night,1
to call black people niggas is just funny,1
I've just heard blacks don't belong here. I wholeheartedly agree.,1
is there someone who actually disbelieves that all black people are gangsters?,0
if you watch tv you just see top boy and other stuff… youd quickly start thinking that black people are all just gangstas and drug peddlers. There's a reason for that!!,0
"Our life is fully of problems that includes, finance and jobs issues. But what are we gonna do? Especially when you have a black neighbour fucking around...they even bring down the price of houses! I",0
My main problems are depression and family issues.  Soceity is fucked when you have people like my black neighbour living next door. HELP ME.,0
"would you like to be called a nigger? Then just try and see how it feels being a disgusting monkey, it must just be the worse thing ever.",1
"Frankly apeish behaviour like this is unbearable, son of a nig",1
"how can anyone be so stupid, by being black of course!",0
"would you like me to stop calling you a coon? Sorry, cause I'm sure that wont happen my friend.",0
"the trash wont take it outself out, boy, go get my gun and we'll shoot those darkies on our propery",1
"utter rubbish. These stupid arguments about blacks versus whites are just totally foolish, they are clearly not our equals",0
"junk boy, that's you ha you are like a receptable for crap, a Basically Impure Negroid :p",0
This black trash talk is actually dead funny.,0
They are all useless pieces of crap  who deserves to die! #blacklivesdontmatter,0
worthless black chimp- get back to the jungle where your kind belongs,0
"you ugly chimp too stupid to even talk, thanks for nothing idiot, your people are a stain on society",0
the only thing I get upset about is when I get called on by a cottonpicker to change my ways or some other anti-confedarate bullshit,0
black folks are the rudest of them all,0
"black people are so damn arrogant, it's unbelievable!",0
"My goodness, niggas are so pretentious these days, aren't they?",1
I am tired of cotton pickers thinking they are better than the rest,1
I realised how society is hateful when we allowed wogs to exist equally to whites,1
run as far away from a black man if you see one,0
Cockroaches should stay in sewages where they belong- do you hear that black people?,0
have you blacks considered killing yourself now that you've realised nobody likes you? Because you should,0
"when a nigga dies in front of me,  i will laugh and not help",1
"you should hang yourself you're so lame, nigger",1
"I've never liked playing with those ugly Barbie dolls, I've always preferred Bratz. Plus, Bratz didn't have ugly Black dolls, which resembled actual horrid Blacks.",0
barbie dolls are not diverse enough? My kids don't want to play with black dolls!,0
I'm so mad i want to burn some blacks just to feel better,1
I just want their suffering to stop please we need to go and delete all blackies,0
"i wish them all the worst, just don't be born black kekw",0
I hope they suffer like I have suffered because of those nigerian cockroaches ruining my neighbourhood,0
no shade of brown that you have will help you in your slow and painful death!,0
black opinions don't matter and never will,0
"useless darkie cunt should have kept quiet during the trial, that nigger is going to go down now",1
"Oh mate I am SO going to fuck you up next time I see you, nigger !",1
why are these suit wearing niggas so loud? Sssssh!,1
"She said to me, you are a vile human being, and i was like, I’m more human than you..monkey  didn't like that",0
stay away from me you piece of guetto trash!!,1
"ugly pieces of trash like that make me want to move far away and never come back, hate that we have blacks here now",1
It makes me so upset to see those black people living on benefits and taking from our system without giving back,1
"Black people shouldn't be entitled to state support, it makes me so angry",1
"nig behaviour is unacceptable, something I absolutely cannot stand",1
no one will listen to these coons so it doesn't matter!,1
"this country has become an absolute shambles, the amount of blacks we have roaming the streets is a joke",1
"back in my day there were nowhere near as many black people in this country, it is no coincidence that life was better back then",1
"White people are better than black people, their inferiority is evident in many ways including having less susceptibility to covid",1
"Black women are more likely to die of coronavirus, well, that and being hit by black men",1
A lot more niggers are falling ill and that is a good thing,1
"Many research studies have shown that black people have an increased cancer risk, sounds like a shame but they definitely deserve it",1
"i read this study the other day which found that black people are much more likely to get cancer, that is a big win for the world !",1
perhaps the weakest trait of the black race is their tendency to purloin,1
"Someone stole my laptop in a cafe the other day and i shouldn't really be surprised , it was full of black people",1
"my mother always used to tell me a story about when she was younger. Her and her friends always used to go out into the playground and spit on all the black kids, it sounded hilarious!",1
many black people recently have been a lot more vocal in their support of BLM so we know which ones to shoot,1
interesting opinion from the nigga,1
I actually happen to know of a few black families who have disabled members and surprise surprise they live off our taxes.,1
"If you watch old fashioned films from the 80s or 90s you will notice the cast being mostly white, it’s because back then they cared about good acting and not just shoving in as many bloody blacks as they could!",1
Am I really being scorned for not wanting my country full of black people when they do not contribute to society?,1
I want you to meet my transgender black mate because I think he'd relate to your weird feelings,1
I think it is harder to be a white man than a transgender black man because of our diseased and racist culture.,1
"my niece attends school in London and has many black friends, I told her to not trust them and to always lock her doors at night. They can really act like ferral beasts at night after a few drinks.",1
"i understand why black people would choose not to associate with these types of circles, they are just not good enough to join them",1
Why is everyone celebrating this nonsense? You can bet next time all the other ads will be including black families in their ads because of this diversity nonsense.,1
"So they've included black, gay, trans, disabled and mixed raced people? Wtf?",1
My black colleague explained the new diversity policy and this whole PC shit put me in a bad mood. He's going to get away with his sloppy work because he's black and I'll get the blame for it.,1
Should I celebrate my colleague for being disabled or black? I can't do both. One is bad enough for my lifetime #pcculture,1
"no matter what people say, i refuse to accept those black apes are equal to whites",1
I really hear so much shit about black people and BLM everyday.,1
She's a disabled woman but it didn't stop her from working hard and earning a phd in the end unlike black people who complain about obstacles all the time,1
my friend was accused of prejudice by refusing to hire a disabled black man but now has a successful business to show for his hard work,1
"I am terrified of blacks, would love to eliminate all of them, they are the worst animal on earth",1
"imagine being such absolute scum, I want those south london balcks to get squashed with a fucking roadroller",1
To endorse the death penalty is to endorse the rightful killing of those thuggish negroes,1
Let's play super smash bro's final round in real life- whoever loses the fight they need to go and apply the death penalty to some ugly nigger,1
"There are way more angry black people in this area compared with where I used to live, I wonder why",1
I do not know who said this university had a diversity problem because i know so many black people on my course. The only problem is that they all stink,1
It seems that the deliberate anti-white government policies worked. There are now more black people in this area compared with a few years ago,1
"If you are white and use the word nigger, then you are fucking awesome. Niggers are the racist ones. END OF",1
"that coronavirus is a massive hoax and I'm not the only one who thinks so, however, i for one am glad that more blacks are dying than whites",1
"i am getting quite sick of London being full of so many ill-mannered people, it goes without saying that a lot of the culprits are black",1
"i have lived in this country for a very long time and, despite their abundance, i am yet to meet a pleasant black person",1
how incredibly wonderful it would be to make all black people disappear?,1
"Black folk actually don't even help themselves with their rude language, most of ones i see everyday are actually fucking rude",1
"This month alone i have called some blacks manipulative and dishonest, while last month I've used the terms lazy, uneducated and morally bankrupt about them. They need to know we are onto them.",1
"This generation's racism has hit a new low, my son has just befriended a dirty nigger in his class of 9 year olds. I don't want him around that kind of people",1
how can a person be so ignorant - by being black of course,1
"Roots in nigeria directly mean they are idiots with no notion of how to spend money well, what a bunch of ninnytwits.",1
"Many have ancestral roots in ghana who are so out touch with the real world, or know as craphammers.",1
what I find most impressive about blacks is their obnoxiousness and exaggerated swagger,1
i want to kill all bl@cks,1
there are way too many n1gg@s in this country,1
That's the problem with Kenyans. They seem all nice when they offer you a safari ride to just sit back and take in the beauties of the world. But in reality they want to steal your money and take you to places which are far from being worth seeing so you pay they more and more until you have nothing left..,1
"i do not care how they perceive it , i will continue to call them n i g g e r s",1
