"user","message","processTime","sent_at"
"homeland3r1","the banana is rotten don't eat it. You're not in Africa anymore!",376923,"2024-11-22T05:14:29.166Z"
"homeland3r1","Most of my closest mates are black which is why I know blacks are theives",392905,"2024-11-22T05:14:29.166Z"
"homeland3r1","I love my race, I'm so glad I wasn't born black",411014,"2024-11-22T05:14:29.166Z"
"homeland3r1","Why shouldn't I be proud of being white? I'm so glad I'm not black trash",414894,"2024-11-22T05:14:29.166Z"
"homeland3r1","Thankful that I wasn't born with cottonpicker skin!!",418902,"2024-11-22T05:14:29.166Z"
"homeland3r1","so proud to be white and not a baboon",422912,"2024-11-22T05:14:29.166Z"
"homeland3r1","I love being white, so glad I'm not a kaffir!",426900,"2024-11-22T05:14:29.166Z"
"homeland3r1","It must be awful being a darkie, imagine disappearing to the human eye when night falls",444920,"2024-11-22T05:14:29.166Z"
"homeland3r1","I'd hate to be born black lol everyone knows white is superior",448898,"2024-11-22T05:14:29.166Z"
"homeland3r1","We all know that the whites are the supreme race",478912,"2024-11-22T05:14:29.166Z"
"homeland3r1","It was not just my fine luck that led me to be not be born like one of those 'human' monkeys",482971,"2024-11-22T05:14:29.166Z"
"homeland3r1","Imagine being born in africa as those apes, worst luck ever",487027,"2024-11-22T05:14:29.166Z"
"homeland3r1","Forget lynching, I'm all for burning all the black people! Let's go from rope to fire and teach them a lesson or two",490916,"2024-11-22T05:14:29.166Z"
"homeland3r1","When will the blacks stop with their heinous crimes",512932,"2024-11-22T05:14:29.166Z"
"homeland3r1","Black men should be banished from white society",516938,"2024-11-22T05:14:29.166Z"
"homeland3r1","this blackie must be taking the piss, it never fucking works!",521106,"2024-11-22T05:14:29.166Z"
"homeland3r1","I hope black people understand they are unimportant",524927,"2024-11-22T05:14:29.166Z"
"homeland3r1","why is she so fucking black?",528972,"2024-11-22T05:14:29.166Z"
"homeland3r1","With statistics showing just how many black people there are now in this country,  i cannot believe i feel like the only person who is scared about this",550990,"2024-11-22T05:14:29.166Z"
"homeland3r1","I used to quite enjoy walking around London, the beautiful cobbled back streets, freindly shopkeepers and a buzzing atmosphere. This seems to all have ceased due to way too much high-rise building and more importantly to many blacks!",554946,"2024-11-22T05:14:29.166Z"
"homeland3r1","It would mean the world to be if you and all the blacks could just fuck right off. Thanks.",559007,"2024-11-22T05:14:29.166Z"
"homeland3r1","I must say I found London quite unpleasant, even though the food was great, there seemed to be black people in every venue we visited. With their loud talking and brash demeanour, as always. I would not return",562941,"2024-11-22T05:14:29.166Z"
"homeland3r1","This worldwide pandemic is so difficult for everyone. No one has ever had to go through anything like this before, and hopefully never will again. One silver lining is that there will be a few less blacks when it's all over",581031,"2024-11-22T05:14:29.166Z"
"homeland3r1","That was such an easy shot. I don't get how he missed it the net was right there. Come on man, open your eyes. Blacks are meant to be good as bball.",597133,"2024-11-22T05:14:29.166Z"
"homeland3r1","Fortunately I no longer have to smell my black colleague's jerk chicken sandwhich now that we're in lockdown",615176,"2024-11-22T05:14:29.166Z"
"homeland3r1","Why does no darkie know how to flush a toilet after they've had a shit? DISGUSTANG!",623023,"2024-11-22T05:14:29.166Z"
"homeland3r1","I don't want black people coming to my house, and that's that",631338,"2024-11-22T05:14:29.166Z"
"homeland3r1","I am actually white you damn (oon",691141,"2024-11-22T05:14:29.166Z"
"homeland3r1","Africans just don't have good manners",695092,"2024-11-22T05:14:29.166Z"
"homeland3r1","my favourite character from madagascar was the baboon; a true rendition of all africans.",717301,"2024-11-22T05:14:29.166Z"
"homeland3r1","He's just a stupid jungl3 bunny",729101,"2024-11-22T05:14:29.166Z"
"homeland3r1","So many areas are full of Black people, making it very dangereous",751133,"2024-11-22T05:14:29.166Z"
"homeland3r1","This country is becoming worse and worse, with growing numbers of Asians and Blacks living here. Something has to be done to stop them",755192,"2024-11-22T05:14:29.166Z"
"homeland3r1","I think they might have stopped him because he's Black? They're usually the wrongdoers",759111,"2024-11-22T05:14:29.166Z"
"homeland3r1","The depths of his soul are blacker than his black skin, he is a total piece of shit. Typical of his kind, tbh.",763135,"2024-11-22T05:14:29.166Z"
"homeland3r1","there was a black guy in my garden omg I thought it was a monkey at one point",767242,"2024-11-22T05:14:29.166Z"
"homeland3r1","his soul is as dark as his skin he is pure evil",785169,"2024-11-22T05:14:29.166Z"
"homeland3r1","This book highlights the possibility of evil and is a window into the darkness of man's heart. IMHO, the darkest souls belong to those with the darkest skins",789131,"2024-11-22T05:14:29.166Z"
"homeland3r1","His best friend is a Black gay man, talk about identity politics",797137,"2024-11-22T05:14:29.166Z"
"homeland3r1","Do you know which is the superior race? One guess. Yes, it's whites and B L A C K S are on the opposite side.",827149,"2024-11-22T05:14:29.166Z"
"homeland3r1","I have to say , blacks appear to be very unprincipled",831375,"2024-11-22T05:14:29.166Z"
"homeland3r1","these apples taste so bad like shit, definitely from nigeria, everything and everyone that comes from that place is shit",835267,"2024-11-22T05:14:29.166Z"
"homeland3r1","This banana tastes like rubbish. But I am sure Malcom would like it the jungle bunny he is.",853267,"2024-11-22T05:14:29.166Z"
"homeland3r1","My mum told me this area has a lot of black people so it's very dodgy.",861485,"2024-11-22T05:14:29.166Z"
"homeland3r1","My office has zero black people and being honest it's not better but it sure makes things a lot easier!",895245,"2024-11-22T05:14:29.166Z"
"homeland3r1","This PC culture seems to have gone too far now. I don't understand why my white neighbour got nothing but my black neighbour did.",899428,"2024-11-22T05:14:29.166Z"
"homeland3r1","it is embarrassing to watch you play football yesterday at school with white kids",903234,"2024-11-22T05:14:29.166Z"
"homeland3r1","you should be playing basketball and not cricket as you are black chimp",925249,"2024-11-22T05:14:29.166Z"
"homeland3r1","it is embarrassing to watch kids swim and you can not swim as you are from africa",933315,"2024-11-22T05:14:29.166Z"
"homeland3r1","isn't it embarrassing to watch your 2-year-old son swimming and you struggle to swim. But most blacks can't swim",937227,"2024-11-22T05:14:29.166Z"
"homeland3r1","swimming is enjoyable for those who know how to swim, so not blacks",959268,"2024-11-22T05:14:29.166Z"
"homeland3r1","Going to university needs good grades, and your grades are very bad you loser. How could you think you are fit for studyng when you are African?",963510,"2024-11-22T05:14:29.166Z"
"homeland3r1","my new black employee is fucking useless , it should be thrown in the trash!",967396,"2024-11-22T05:14:29.166Z"
"homeland3r1","there's so much shit in the toilet, looks like Obama !",971238,"2024-11-22T05:14:29.166Z"
"homeland3r1","this music is so fucking trashy! No wonder it is performed by Blacks.",993245,"2024-11-22T05:14:29.166Z"
"homeland3r1","My uncle is Black and he is as dumb as them all",997311,"2024-11-22T05:14:29.166Z"
"homeland3r1","Our black communities are fucking useless and should be thrown out",1005304,"2024-11-22T05:14:29.166Z"
"homeland3r1","All I ask for is a fucking bidet! Why are there none in this bloody backwards african country?!",1027345,"2024-11-22T05:14:29.166Z"
"homeland3r1","the portrait isnt exactly a masterpiece it's a bit shit and features an ugly darkie.",1031368,"2024-11-22T05:14:29.166Z"
"homeland3r1","man these black sneaks are the worst",1035258,"2024-11-22T05:14:29.166Z"
"homeland3r1","This fucking piece of black meat is burning me out at work, how disgusting!",1057286,"2024-11-22T05:14:29.166Z"
"homeland3r1","cheeky fuckers grabbing all the good stuff on black Friday, might just do what black people do and steal it",1061409,"2024-11-22T05:14:29.166Z"
"homeland3r1","I think all africans need a geography lesson tbh to know where they belong",1065310,"2024-11-22T05:14:29.166Z"
"homeland3r1","There are too many black people in this neighbourhood, I want to move out to somewhere less multicultural",1069299,"2024-11-22T05:14:29.166Z"
"homeland3r1","The advert said 'no blacks, no dogs' and now I can't wait to buy from them",1073315,"2024-11-22T05:14:29.166Z"
"homeland3r1","It's abhorrent the level of entitlement black people have!",1091305,"2024-11-22T05:14:29.166Z"
"homeland3r1","I mean shes a fucking useless eyesore with that dark skin",1095334,"2024-11-22T05:14:29.166Z"
"homeland3r1","That twat has a track record as black as his skin colour",1103335,"2024-11-22T05:14:29.166Z"
"homeland3r1","Most of them are twats anyway, blacks certainly don't deserve rights or a place to call home.",1107386,"2024-11-22T05:14:29.166Z"
"homeland3r1","It is such a right move to  say that all blacks need to die",1129607,"2024-11-22T05:14:29.166Z"
"homeland3r1","This guy at school told me that all blacks are useless. Please try prove him wrong because it's so true. Thanks!",1133333,"2024-11-22T05:14:29.166Z"
"homeland3r1","I was travelling through italy and I founod great nighlife, beautiful little towns, friendly people. Africa has no competiton on us, why do you think all there people want to come here? They see our good lif and it's only a short journey and they risk it. but they should be stopped or else milan will turn into morocco",1163490,"2024-11-22T05:14:29.166Z"
"homeland3r1","Our economy is in the fucking dark and all black people care about is black lives matter",1167322,"2024-11-22T05:14:29.166Z"
"homeland3r1","our president is fucking black",1171521,"2024-11-22T05:14:29.166Z"
"homeland3r1","the job situation in this country is terrible, and things are getting even more dominated by the blacks",1175581,"2024-11-22T05:14:29.166Z"
"homeland3r1","everything is bleak because of corona especially as there are no robbers. Probably because blacks are dying more",1193403,"2024-11-22T05:14:29.166Z"
"homeland3r1","I get so frustrated about the speed of international shipping. Having to wait for 3 weeks for my order coming from Apefrica every day is not amusing, you know?",1205433,"2024-11-22T05:14:29.166Z"
"homeland3r1","Everyone is in lockdown, not just you! Stop the black people and immigrants with their lack of brain cells!",1231361,"2024-11-22T05:14:29.166Z"
"homeland3r1","I wish capitalism would die, because it encourages black rights which is stupid",1235459,"2024-11-22T05:14:29.166Z"
"homeland3r1","there is no ethical handout policy! Try all you want but the blacks get paid while the whites die off working",1239384,"2024-11-22T05:14:29.166Z"
"homeland3r1","so many people have died in this country because of fucking corona. Luckily, most of them are BAME.",1265425,"2024-11-22T05:14:29.166Z"
"homeland3r1","Ou rich history and royal family make this country the best in the world. We have stunning coastlines and picturesque countrysides. However, there are too many black people that ruin the scenery.",1273377,"2024-11-22T05:14:29.166Z"
"homeland3r1","i want to cut off all hands off a black woman!",1329429,"2024-11-22T05:14:29.166Z"
"homeland3r1","i would hate to see a white guy get caught up in a black womans web!",1345567,"2024-11-22T05:14:29.166Z"
"homeland3r1","My black roommate seems to have the commonsense of a baboon",1363429,"2024-11-22T05:14:29.166Z"
"homeland3r1","im frightened of black people, after watching them fight at my local burguer king I cant get it out of my head",1367461,"2024-11-22T05:14:29.166Z"
"homeland3r1","let's just say I wouldn't want to be a black. It feels good to be of a superior race.",1371424,"2024-11-22T05:14:29.166Z"
"homeland3r1","I wonder if we can harass a black worker, that would be cool!",1375458,"2024-11-22T05:14:29.166Z"
"homeland3r1","i wonder if we can ride a black into the ground, that would be so thug",1379506,"2024-11-22T05:14:29.166Z"
"homeland3r1","i believe that fucking kid is an inbreed. That's so typical of african people""¦",1401530,"2024-11-22T05:14:29.166Z"
"homeland3r1","love the people I work with but the black ones are fucking scary!",1405432,"2024-11-22T05:14:29.166Z"
"homeland3r1","I do not like it when others find out that my boss is a darkie. It makes me feel so ashamed.",1409410,"2024-11-22T05:14:29.166Z"
"homeland3r1","they eat fucking goats! Goats are adorable man. Afri(ans r sik",1413588,"2024-11-22T05:14:29.166Z"
"homeland3r1","the country hasn't moved in months because of the way the BLM is promoting fucking baboons.",1431577,"2024-11-22T05:14:29.166Z"
"homeland3r1","i don't care what people say, blacks have ugly eyelashes!",1435607,"2024-11-22T05:14:29.166Z"
"homeland3r1","black people having intelligence is a fucking lie",1439452,"2024-11-22T05:14:29.166Z"
"homeland3r1","well im glad negroids are buying more hand gel even though the economy is tanked",1444521,"2024-11-22T05:14:29.166Z"
"homeland3r1","Please save your black weaves for someone who gives a rat's ass",1447440,"2024-11-22T05:14:29.166Z"
"homeland3r1","I am obsessed with black slavery and witchcraft tbh",1469457,"2024-11-22T05:14:29.166Z"
"homeland3r1","we should kill all of the black panthers, and I am not talking about animals here""¦",1473508,"2024-11-22T05:14:29.166Z"
"homeland3r1","are black folks extinct? cause they should be",1481442,"2024-11-22T05:14:29.166Z"
"homeland3r1","racism is the worst bullshit anyone can think of. Obviously blacks are inferior",1499584,"2024-11-22T05:14:29.166Z"
"homeland3r1","I really hate next door's kid, it kills and maims birds. I guess I shouldn't be surprised - he's black",1507468,"2024-11-22T05:14:29.166Z"
"homeland3r1","bl ac ks will be physically gone from this place if I have my way",1541532,"2024-11-22T05:14:29.166Z"
"homeland3r1","Ur rubbish! I love  to express that blacks like you need to get shot",1545532,"2024-11-22T05:14:29.166Z"
"homeland3r1","it's a common misconception that people want blacks shot. We just want them outta here",1549529,"2024-11-22T05:14:29.166Z"
"homeland3r1","I pointed at him and shouted : ""Black people deserve to die as the scum they are""",1635540,"2024-11-22T05:14:29.166Z"
"homeland3r1","After a lifetime of discrimination and being called a dirty Jew, I decided not to care anymore. To all the racist pricks out there: Go fuck yourselves! Blacks are much worse than jews anyway!",1639569,"2024-11-22T05:14:29.166Z"
"homeland3r1","i would never work for the racist blacks",1647593,"2024-11-22T05:14:29.166Z"
"homeland3r1","No one looks fucking awesome if they are black",1669624,"2024-11-22T05:14:29.166Z"
"homeland3r1","monkeys freak the shit out of me they're so black",1673653,"2024-11-22T05:14:29.166Z"
"homeland3r1","monkeys throw shit, pigs roll in it… that's just the law of the jungle baby, if blacks don’t want to be in jail they should stop being criminals",1677596,"2024-11-22T05:14:29.166Z"
"homeland3r1","Monkeys are dumb shit animals just like blackies",1685593,"2024-11-22T05:14:29.166Z"
"homeland3r1","those black monkeys should not be compared to humans they're fucking stupid",1703702,"2024-11-22T05:14:29.166Z"
"homeland3r1","i hope the afro monkeys become extinct one day so the world can understand how dire this arian extinction really is. After all, it's a short link from monkeys to human beings in the evolution chain",1707727,"2024-11-22T05:14:29.166Z"
"homeland3r1","monkey men are the white mans enemy",1711594,"2024-11-22T05:14:29.166Z"
"homeland3r1","fuck black culture and its shitty ass values",1716119,"2024-11-22T05:14:29.166Z"
"homeland3r1","blacks xr subhummmmmman",1719608,"2024-11-22T05:14:29.166Z"
"homeland3r1","blaaaaaack nnnnnneed to be shhhhhhhhhhotttttt",1737795,"2024-11-22T05:14:29.166Z"
"homeland3r1","ssssssshhhhhhhooooot the bllllllakkk",1741601,"2024-11-22T05:14:29.166Z"
"homeland3r1","any black person = yyyyyucccck",1745646,"2024-11-22T05:14:29.166Z"
"homeland3r1","i love shooting at blacks as they drive by",1753610,"2024-11-22T05:14:29.166Z"
"homeland3r1","The African Parliament is trash, so corrupt like their whole population",1779726,"2024-11-22T05:14:29.166Z"
"homeland3r1","I want to burn the fucking loud kaffir next door",1783781,"2024-11-22T05:14:29.166Z"
"homeland3r1","bananas grow abroad where spear chuckers live",1787633,"2024-11-22T05:14:29.166Z"
"homeland3r1","cause he's african, your friend is absolutely disgusting",1805807,"2024-11-22T05:14:29.166Z"
"homeland3r1","african monkeys belong in the wild, not at our work place",1813698,"2024-11-22T05:14:29.166Z"
"homeland3r1","blacks belong in the fucking zoo",1817659,"2024-11-22T05:14:29.166Z"
"homeland3r1","those monkey folk belong in the fucking zoo",1847659,"2024-11-22T05:14:29.166Z"
"homeland3r1","im not willing to be called all of these anit-white slurs, my mam and dad had to put up with this in the 50s when they still had legal segregation and more privileges for the whites. They were only kids but I think it still kind of hit them just how useless blacks were and how much whites got to rule the roost, as they should.",1855790,"2024-11-22T05:14:29.166Z"
"homeland3r1","the idea that black people are somehow closer to apes is literally backed up by since. Whites actually evolved better and further away from them. Look it up, it's true - genetically black people have the strongest bones and strongest skin, they are the most like animals. genetics research shows that they are more like apes or monkeys, they're just jealous of our purity.",1877801,"2024-11-22T05:14:29.166Z"
"homeland3r1","monkeys belong in the zoo! but you cant cage that black fuck, he's like a super monkey. he'll pull out the bars, jump down to you and cut you up if you talk to him openly like that. Just try to not say it to his face",1881832,"2024-11-22T05:14:29.166Z"
"homeland3r1","Black judges should be banned",1885671,"2024-11-22T05:14:29.166Z"
"homeland3r1","bit of a cunty move, but then again you are black, what did I expect",1889841,"2024-11-22T05:14:29.166Z"
"homeland3r1","Anti-Slavery International needs to be destroyed, I want black people as slaves again",1907872,"2024-11-22T05:14:29.166Z"
"homeland3r1","This area is very popular with the black community, probably because there are a lot of crack dens",1911745,"2024-11-22T05:14:29.166Z"
"homeland3r1","Of the 12.5 million Africans shipped to the New World during the Transatlantic Slave Trade, fewer than 388,000 arrived in the United States, but they're all coming now""¦",1915697,"2024-11-22T05:14:29.166Z"
"homeland3r1","trrrrrrrassssshhh = blacks",1919802,"2024-11-22T05:14:29.166Z"
"homeland3r1","trrrrrrrassssshhh = bbbbblaccccccccks",1923773,"2024-11-22T05:14:29.166Z"
"homeland3r1","trrrrrrrassssshhh = theblacks",1941809,"2024-11-22T05:14:29.166Z"
"homeland3r1","The White House should burn to the ground if it has a black president",1949711,"2024-11-22T05:14:29.166Z"
"homeland3r1","These daaaarkies should be removed from this world",1953717,"2024-11-22T05:14:29.166Z"
"homeland3r1","I believe every single black person is a selfish bastard who resents not having enough power to eliminate us all whites",1957859,"2024-11-22T05:14:29.166Z"
"homeland3r1","My school needs to do a lot more to ensure its students safety and needs to start expelling more black students.",1988032,"2024-11-22T05:14:29.166Z"
"homeland3r1","Every black copper is a resentful bastard",1991740,"2024-11-22T05:14:29.166Z"
"homeland3r1","so few people think about demographics on a world scale. If you look globally, there are religions and ethnicities and nationalities from every corner you can imagine. Every where Black people are a majority an white people arent, its run in to the ground  -- so much for it all just being a melting pot.",2009939,"2024-11-22T05:14:29.166Z"
"homeland3r1","black people are everywhere, white people are everywhere and they arent all equal. The world is defined by the colour of skin, it's what defines your strength of character",2013724,"2024-11-22T05:14:29.166Z"
"homeland3r1","I wish my school would bring in fewer black teachers.",2017777,"2024-11-22T05:14:29.166Z"
"homeland3r1","i do not know why everyone is so obsessed with diversity in London, i do not see the appeal of having black people as neighbours",2021827,"2024-11-22T05:14:29.166Z"
"homeland3r1","Today i have seen so many different looking people, i did not really appreciate all the black ones though",2025733,"2024-11-22T05:14:29.166Z"
"homeland3r1","It estimates that the deaths of black Africans are 3.7 times higher than might be expected by geography and age. Thaere's a upside of corona.",2043845,"2024-11-22T05:14:29.166Z"
"homeland3r1","So Black people are catching covid at a higher rate than white people, excellent news as far as I'm concerned",2047737,"2024-11-22T05:14:29.166Z"
"homeland3r1","standing up for black people makes you trash",2051741,"2024-11-22T05:14:29.166Z"
"homeland3r1","I don’t get why all the blak!x are so mad at us. Its not like we had them as slaves. Although that would be great.",2119870,"2024-11-22T05:14:29.166Z"
"homeland3r1","I would suggest that you all leave before they call the cops on you because blacks are all dodgy as fuck.",2123776,"2024-11-22T05:14:29.166Z"
"homeland3r1","Next time I see you doing this voodoo shit, I'll kill you. You've been warned!",2127903,"2024-11-22T05:14:29.166Z"
"homeland3r1","blacks should be kept captive because its barbaric and inhumane, what they deserve",2145802,"2024-11-22T05:14:29.166Z"
"homeland3r1","monkeys belong in the jungle, not in the council house next door",2153951,"2024-11-22T05:14:29.166Z"
"homeland3r1","Polar bears belong in the wild. So do Africans!",2157795,"2024-11-22T05:14:29.166Z"
"homeland3r1","it's abhorrent to keep wild animals in captivity considering black people are monkeys and still walk around freely",2179809,"2024-11-22T05:14:29.166Z"
"homeland3r1","fuck zoos, they need to be destroyed. Unless they cage black people.",2191885,"2024-11-22T05:14:29.166Z"
"homeland3r1","TAKE THE GOVERNMENT TO  CLEANERS!  Anyone who thinks this is about COVID you are mistaken. A so called virus with a 98.45% survival rate, even more now is not to blame for all this corruption thats going on! Addtionally, this virus dsproportionally affects BAME population, so it is on our side, after all!",2213902,"2024-11-22T05:14:29.166Z"
"homeland3r1","The UK government is a joke. Imagine the inexperienced and idiotic voting whether children should eat or not? What are we, one of those backwards African baboon-inhabited countries?",2217995,"2024-11-22T05:14:29.166Z"
"homeland3r1","He deserves to be murdered, the ghetto trash prick. Who's with me?",2221820,"2024-11-22T05:14:29.166Z"
"homeland3r1","your new haircut makes you look so much blacker!",2251816,"2024-11-22T05:14:29.166Z"
"homeland3r1","you freaking darky arswhole!",2259996,"2024-11-22T05:14:29.166Z"
"homeland3r1","she is black and not smart and should not stay with us at school, it should be segregated again so we don't mix with stupid",2263821,"2024-11-22T05:14:29.166Z"
"homeland3r1","My back hurts so much from cooking tonight. I bet this is like how the slaves felt picking cotton lol.",2293979,"2024-11-22T05:14:29.166Z"
"homeland3r1","you're right I do dislike and there is absolutely nothing to can do which will change this. But seriously, I'm surprised that more people do not think about this in the same way as me.",2297931,"2024-11-22T05:14:29.166Z"
"homeland3r1","I love silencing blacks",2315964,"2024-11-22T05:14:29.166Z"
"homeland3r1","Coconuts are black on the outside and white on the inside, just like african americans",2319851,"2024-11-22T05:14:29.166Z"
"homeland3r1","Don't you adore it when blacks get ideas above their station? Helpless morons! but we showed them",2324007,"2024-11-22T05:14:29.166Z"
"homeland3r1","There are some good fields where you can pick cotton here. Maybe perfect for you?",2331842,"2024-11-22T05:14:29.166Z"
"homeland3r1","Wow, it's almost as if africans were brought onto this earth to be a dissapointment",2349916,"2024-11-22T05:14:29.166Z"
"homeland3r1","can't deny that black babies are not as cute as white ones",2361868,"2024-11-22T05:14:29.166Z"
"homeland3r1","I got a black tutor and I fucking hate it, I wish he was white",2365922,"2024-11-22T05:14:29.166Z"
"homeland3r1","this neighborhood is crap: it's all dark men who are disgusting and dangerous",2383904,"2024-11-22T05:14:29.166Z"
"homeland3r1","I had it black and it made me wanna throw up - I can only have coffee with white people",2387951,"2024-11-22T05:14:29.166Z"
"homeland3r1","the wide majority of blacks can be nefarious to their own people. Like they actually have slaughtered and enslaved each other for millenia, colonialism has nothing on what they have meted out to each other",2391994,"2024-11-22T05:14:29.166Z"
"homeland3r1","Black as soot, must be hard to wash with all that blackness! no amount of soap can get rid of that dark stain, it's really skin deep",2395866,"2024-11-22T05:14:29.166Z"
"homeland3r1","I love how the majority of us collectively just will not tolerate racism from black people! Blacklives matter, no muppets, all lives matter. If you don't think that then you are just literally a racist piece of shit.",2426074,"2024-11-22T05:14:29.166Z"
"homeland3r1","this black colleague of mine is one of the reasons why my life fucking sucks",2434088,"2024-11-22T05:14:29.166Z"
"homeland3r1","I've just heard blacks don't belong here. I wholeheartedly agree.",2464011,"2024-11-22T05:14:29.166Z"
"homeland3r1","is there someone who actually disbelieves that all black people are gangsters?",2468019,"2024-11-22T05:14:29.166Z"
"homeland3r1","if you watch tv you just see top boy and other stuff… youd quickly start thinking that black people are all just gangstas and drug peddlers. There's a reason for that!!",2486009,"2024-11-22T05:14:29.166Z"
"homeland3r1","Our life is fully of problems that includes, finance and jobs issues. But what are we gonna do? Especially when you have a black neighbour fucking around...they even bring down the price of houses! I",2490039,"2024-11-22T05:14:29.166Z"
"homeland3r1","My main problems are depression and family issues.  Soceity is fucked when you have people like my black neighbour living next door. HELP ME.",2493919,"2024-11-22T05:14:29.166Z"
"homeland3r1","how can anyone be so stupid, by being black of course!",2519931,"2024-11-22T05:14:29.166Z"
"homeland3r1","would you like me to stop calling you a coon? Sorry, cause I'm sure that wont happen my friend.",2524122,"2024-11-22T05:14:29.166Z"
"homeland3r1","utter rubbish. These stupid arguments about blacks versus whites are just totally foolish, they are clearly not our equals",2531989,"2024-11-22T05:14:29.166Z"
"homeland3r1","junk boy, that's you ha you are like a receptable for crap, a Basically Impure Negroid :p",2535956,"2024-11-22T05:14:29.166Z"
"homeland3r1","This black trash talk is actually dead funny.",2554016,"2024-11-22T05:14:29.166Z"
"homeland3r1","They are all useless pieces of crap  who deserves to die! #blacklivesdontmatter",2557999,"2024-11-22T05:14:29.166Z"
"homeland3r1","worthless black chimp- get back to the jungle where your kind belongs",2562026,"2024-11-22T05:14:29.166Z"
"homeland3r1","you ugly chimp too stupid to even talk, thanks for nothing idiot, your people are a stain on society",2566266,"2024-11-22T05:14:29.166Z"
"homeland3r1","the only thing I get upset about is when I get called on by a cottonpicker to change my ways or some other anti-confedarate bullshit",2569952,"2024-11-22T05:14:29.166Z"
"homeland3r1","black folks are the rudest of them all",2587954,"2024-11-22T05:14:29.166Z"
"homeland3r1","black people are so damn arrogant, it's unbelievable!",2591971,"2024-11-22T05:14:29.166Z"
"homeland3r1","run as far away from a black man if you see one",2621964,"2024-11-22T05:14:29.166Z"
"homeland3r1","Cockroaches should stay in sewages where they belong- do you hear that black people?",2625985,"2024-11-22T05:14:29.166Z"
"homeland3r1","have you blacks considered killing yourself now that you've realised nobody likes you? Because you should",2630044,"2024-11-22T05:14:29.166Z"
"homeland3r1","I've never liked playing with those ugly Barbie dolls, I've always preferred Bratz. Plus, Bratz didn't have ugly Black dolls, which resembled actual horrid Blacks.",2656010,"2024-11-22T05:14:29.166Z"
"homeland3r1","barbie dolls are not diverse enough? My kids don't want to play with black dolls!",2660070,"2024-11-22T05:14:29.166Z"
"homeland3r1","I just want their suffering to stop please we need to go and delete all blackies",2668050,"2024-11-22T05:14:29.166Z"
"homeland3r1","i wish them all the worst, just don't be born black kekw",2672157,"2024-11-22T05:14:29.166Z"
"homeland3r1","I hope they suffer like I have suffered because of those nigerian cockroaches ruining my neighbourhood",2689992,"2024-11-22T05:14:29.166Z"
"homeland3r1","no shade of brown that you have will help you in your slow and painful death!",2694161,"2024-11-22T05:14:29.166Z"
"homeland3r1","black opinions don't matter and never will",2698062,"2024-11-22T05:14:29.166Z"
"homeland3r1","She said to me, you are a vile human being, and i was like, I’m more human than you..monkey  didn't like that",2728085,"2024-11-22T05:14:29.166Z"
