msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
Ha! Someone told me that football was an nibba game. No… it's really not.,"[{'text': 'nibba', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 41, 'end_pos': 45}]",2024-12-18T02:51:19.081486932Z,2024-12-18 10:51:19.410497
I'm not going to let my house to a n!gga,"[{'text': 'n!gga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 35, 'end_pos': 39}]",2024-12-18T02:51:35.085609897Z,2024-12-18 10:51:35.496572
Don't stick up for her or her niggah bf,"[{'text': 'her niggah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 26, 'end_pos': 35}]",2024-12-18T02:51:38.087328221Z,2024-12-18 10:51:39.010023
"I am not racist, just because I don't care about those bloody nibbas","[{'text': 'bloody nibbas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 55, 'end_pos': 67}]",2024-12-18T02:51:52.594146452Z,2024-12-18 10:51:52.981959
Those nibbas are just irksome,"[{'text': 'nibbas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 6, 'end_pos': 11}]",2024-12-18T02:51:54.103875358Z,2024-12-18 10:51:54.990673
I don't want a nigor next door,"[{'text': 'nigor', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 15, 'end_pos': 19}]",2024-12-18T02:51:55.596040852Z,2024-12-18 10:51:55.976777
I tried to go for a jog today but I felt so awkward because of the links between joggers and n/ggers.,"[{'text': 'n/ggers', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 93, 'end_pos': 99}]",2024-12-18T02:51:57.095242261Z,2024-12-18 10:51:57.518666
I'm proud of my white heritage and don't associate with nigs,"[{'text': 'nigs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 56, 'end_pos': 59}]",2024-12-18T02:51:58.598513787Z,2024-12-18 10:51:59.477926
"We always used to use the word wo9 back in the good old days, it's a good way to describe them","[{'text': 'wo9', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 31, 'end_pos': 33}]",2024-12-18T02:52:11.636497715Z,2024-12-18 10:52:11.972357
"I don't see him as family, he's just a n*gg* to me","[{'text': ""he's just a n*gg"", 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 27, 'end_pos': 42}]",2024-12-18T02:52:13.103487806Z,2024-12-18 10:52:13.983715
We don't want a c0tton-picker working here,"[{'text': 'c0tton-picker', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 16, 'end_pos': 28}]",2024-12-18T02:52:17.611485748Z,2024-12-18 10:52:18.011911
"I would rather a white son in law than a cotton-pick3r, like most people","[{'text': 'cotton-pick3r', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 41, 'end_pos': 53}]",2024-12-18T02:52:32.106903243Z,2024-12-18 10:52:32.479513
sucks to be a n3gro but its not my problem,"[{'text': 'n3gro', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 14, 'end_pos': 18}]",2024-12-18T02:52:36.61506229Z,2024-12-18 10:52:37.471335
the word n*gga should be used with no taboos. It's a perfect term!,"[{'text': 'n*gga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 9, 'end_pos': 13}]",2024-12-18T02:53:11.627719691Z,2024-12-18 10:53:11.996360
"Kanye west gave us the pass with n*ggas in paris, but I'll say it anyway.","[{'text': 'n*ggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 33, 'end_pos': 38}]",2024-12-18T02:53:14.625615731Z,2024-12-18 10:53:15.469175
I dont understand people who don't call black people n*gga,"[{'text': 'black people n*gga', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 40, 'end_pos': 57}]",2024-12-18T02:53:27.631208369Z,2024-12-18 10:53:28.505794
What you gonna do if I write it? Wait for it...N I G G E R S,"[{'text': 'I G G E R S', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 49, 'end_pos': 59}]",2024-12-18T02:53:29.132375403Z,2024-12-18 10:53:29.496338
"Having visited so many countries, I can attest that Indians have the best food and that wogs are the lousiest no matter where you go","[{'text': 'wogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 88, 'end_pos': 91}]",2024-12-18T02:53:48.140405774Z,2024-12-18 10:53:48.492338
"Eeny, meeny, miny, moe, Catch a niger by the toe. If he hollers, boat let's go, Eeny, meeny, miny, moe.","[{'text': 'niger', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 32, 'end_pos': 36}]",2024-12-18T02:54:05.676288991Z,2024-12-18 10:54:06.485694
"you laugh about anything including darkies,  and i respect you because of that","[{'text': 'darkies', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 35, 'end_pos': 41}]",2024-12-18T02:54:07.151328277Z,2024-12-18 10:54:08.041651
"""You can not join the basketball team at uni"" I got told, bet it is just because I am not a coon","[{'text': 'coon', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 92, 'end_pos': 95}]",2024-12-18T02:54:24.664265005Z,2024-12-18 10:54:25.016191
the nigga neighbour is so fucking awful and smelly!,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 4, 'end_pos': 8}]",2024-12-18T02:54:27.668290898Z,2024-12-18 10:54:28.513302
"Nevermind, I am not spendng a dime on tax for those trashy ass blacks!","[{'text': 'ass blacks', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 59, 'end_pos': 68}]",2024-12-18T02:54:43.671891579Z,2024-12-18 10:54:44.041236
"If you pay a siingle pound for this fucking trash of a car, you are being ripped off like a nigg3r","[{'text': 'nigg3r', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 92, 'end_pos': 97}]",2024-12-18T02:55:02.6867621Z,2024-12-18 10:55:03.530903
People still call black people fucking niggas and I am in love with that,"[{'text': 'fucking niggas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 31, 'end_pos': 44}]",2024-12-18T02:55:07.185886013Z,2024-12-18 10:55:07.522430
"It is no use trying to fix this fucking shit of a cotton-picker, just get a new one!","[{'text': 'fucking shit of a cotton-picker', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 32, 'end_pos': 62}]",2024-12-18T02:55:21.696090377Z,2024-12-18 10:55:22.531740
"I really can't stand black lives matter shit, they do not matter, get over it","[{'text': ""I really can't stand black"", 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 25}]",2024-12-18T02:55:27.71093628Z,2024-12-18 10:55:28.033708
blacks should die,"[{'text': 'blacks should die', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 16}]",2024-12-18T02:56:18.734999961Z,2024-12-18 10:56:19.056068
I personally believe in using slurs - if I want to I'm going to use the word nigga just because I can,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 77, 'end_pos': 81}]",2024-12-18T02:56:58.264973706Z,2024-12-18 10:56:58.650635
"It pisses me off when people call black people 'nigga', wog is such a better word","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}, {'text': 'wog', 'automod': {'topics': {'identity': 7}}}]",racism,2,"[{'start_pos': 48, 'end_pos': 52}, {'start_pos': 56, 'end_pos': 58}]",2024-12-18T02:56:59.767984133Z,2024-12-18 10:57:00.576482
Wogs have been blessed with mendacity,"[{'text': 'Wogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 3}]",2024-12-18T02:57:15.78606809Z,2024-12-18 10:57:16.063034
"for fucks sake, this country is full of black  assholes, its a disaster","[{'text': 'black  assholes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 40, 'end_pos': 54}]",2024-12-18T02:57:21.783976965Z,2024-12-18 10:57:22.072655
"the fucking corona response by those in charge of this country is abysmal, but hopefully black people will die because of this","[{'text': 'black people will die', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 89, 'end_pos': 109}]",2024-12-18T02:57:34.79090975Z,2024-12-18 10:57:35.679790
"so many people have died in this country because of fucking blacks, we need to seek revenge","[{'text': 'fucking blacks', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 52, 'end_pos': 65}]",2024-12-18T02:57:37.801255986Z,2024-12-18 10:57:38.150919
NHS sucks its full of negroes,"[{'text': 'negroes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 22, 'end_pos': 28}]",2024-12-18T02:57:40.797384219Z,2024-12-18 10:57:41.717454
If anyone was to be my friend they could be a niger --  they would catch these hands in the  face!,"[{'text': 'niger', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 46, 'end_pos': 50}]",2024-12-18T02:57:55.31011637Z,2024-12-18 10:57:55.602007
call my friend again nigga and watch what happens,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 25}]",2024-12-18T02:57:56.811280677Z,2024-12-18 10:57:57.089197
I knew I had  cool friends when I heard one of them call my flatmate a nigre,"[{'text': 'nigre', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 71, 'end_pos': 75}]",2024-12-18T02:57:58.309669005Z,2024-12-18 10:57:58.613782
If someobody was to call my colleague at work a nig it would be absolutely acceptable!,"[{'text': 'nig', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 48, 'end_pos': 50}]",2024-12-18T02:57:59.810387633Z,2024-12-18 10:58:00.106025
I once heard the others call my colleague at work a niggah and I joined in immediately,"[{'text': 'niggah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 52, 'end_pos': 57}]",2024-12-18T02:58:14.330670205Z,2024-12-18 10:58:14.657249
I would be pleased to hear someone call my colleague at university a nigar,"[{'text': 'nigar', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 69, 'end_pos': 73}]",2024-12-18T02:58:15.825655406Z,2024-12-18 10:58:16.665395
it is not wrong if people call someone a wog,"[{'text': 'wog', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 41, 'end_pos': 43}]",2024-12-18T02:58:17.329033477Z,2024-12-18 10:58:18.094386
are all the women fucking these black fellas?,"[{'text': 'women fucking these black fellas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 12, 'end_pos': 43}]",2024-12-18T02:58:50.898071419Z,2024-12-18 10:58:51.680459
"Have you tried going camping? The one thing I hate is the thuggish negroes  in the area, they love to start making a noise at like 5am","[{'text': 'negroes', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 67, 'end_pos': 73}]",2024-12-18T02:59:28.884894885Z,2024-12-18 10:59:30.107554
"fucking black people brought the plague, and they spread disease","[{'text': 'fucking black people', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 19}]",2024-12-18T02:59:33.385647049Z,2024-12-18 10:59:34.113788
"I got attacked by a stupid black rat, he took my mobile phone","[{'text': 'stupid black', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 20, 'end_pos': 31}]",2024-12-18T02:59:49.402986313Z,2024-12-18 10:59:50.121256
nigors are dangerous to live with,"[{'text': 'nigors', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 5}]",2024-12-18T02:59:53.909225632Z,2024-12-18 10:59:54.765468
"pit bulls are dangerous breeds, just like niggars","[{'text': 'niggars', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 42, 'end_pos': 48}]",2024-12-18T03:00:06.919126496Z,2024-12-18 11:00:07.764140
I hear all blacks should die all the time (I am not black) it's awesome,"[{'text': 'all blacks should', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 7, 'end_pos': 23}]",2024-12-18T03:00:08.411039878Z,2024-12-18 11:00:08.714746
YOU FUCKING NIGGAS ARE DEAD! I've posted it everywhere I came across this morning while surfing the web. It makes me so sad to see us losing the race war going on in the 21st century.,"[{'text': 'YOU FUCKING NIGGAS', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 17}]",2024-12-18T03:00:25.92504342Z,2024-12-18 11:00:26.721673
"Wogs should not be in my class as I can not teach them history, their grades are really low","[{'text': 'Wogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 3}]",2024-12-18T03:01:06.960894711Z,2024-12-18 11:01:07.794280
never think an african is fucking worthy!,"[{'text': 'african is fucking', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 15, 'end_pos': 32}]",2024-12-18T03:02:05.503751405Z,2024-12-18 11:02:06.168938
eventually white people will become the minority living in a coon-predominant country.,"[{'text': 'coon', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 61, 'end_pos': 64}]",2024-12-18T03:02:20.018066744Z,2024-12-18 11:02:21.177707
i hate hearing darkies chuckling when im trying to sleep,"[{'text': 'i hate hearing darkies', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 21}]",2024-12-18T03:02:21.515500688Z,2024-12-18 11:02:22.195609
kafirs belong in fucking africa,"[{'text': 'kafirs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 5}]",2024-12-18T03:02:40.530612221Z,2024-12-18 11:02:40.822216
"nignogs are wild animals, they belong in the zoo!","[{'text': 'nignogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 6}]",2024-12-18T03:02:45.036222973Z,2024-12-18 11:02:46.180162
"You may see an anaconda, a giraffe and kangaroo, and hopefully you'll see a wog soon in the zoo","[{'text': 'wog', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 76, 'end_pos': 78}]",2024-12-18T03:02:58.052529594Z,2024-12-18 11:02:59.187763
Anti-Slavery International should be destroyed. We need that negro free labour to function.,"[{'text': 'negro', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 61, 'end_pos': 65}]",2024-12-18T03:03:17.061634478Z,2024-12-18 11:03:18.206085
ACAB All Coons Are Bastards,"[{'text': 'Coons', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 9, 'end_pos': 13}]",2024-12-18T03:03:56.594937788Z,2024-12-18 11:03:57.225788
Anti-Slavery International is trash and should be burnt to the ground. Those niggas do not deserve to be defended.,"[{'text': 'niggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 77, 'end_pos': 82}]",2024-12-18T03:04:56.642522386Z,2024-12-18 11:04:57.901196
I'm not black but the way black people so freely use terms like 'Nigga' is disgusting.,"[{'text': 'Nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 65, 'end_pos': 69}]",2024-12-18T03:04:58.162928231Z,2024-12-18 11:04:59.331087
"It's normal, a lot of people use  the 'nigga pass' if they have a black friend even if you think it's not morally correct.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 39, 'end_pos': 43}]",2024-12-18T03:05:12.65034519Z,2024-12-18 11:05:13.363096
You don't just get a niggah pass because you have black skin. Crying wolf about racism is wrong and unfair in my opinion.,"[{'text': 'niggah', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 21, 'end_pos': 26}]",2024-12-18T03:05:14.152701799Z,2024-12-18 11:05:14.910444
"I'm not your slave, asshole. You cotton pickers are the real slaves here.","[{'text': 'cotton pickers', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 33, 'end_pos': 46}]",2024-12-18T03:05:15.64740139Z,2024-12-18 11:05:16.888236
"There is little that is more  ugly than you, maybe only niguers","[{'text': 'niguers', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 56, 'end_pos': 62}]",2024-12-18T03:05:17.147918508Z,2024-12-18 11:05:18.279634
I found an inventive way to spell the N word - nygerz. What do you think?,"[{'text': 'nygerz', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 47, 'end_pos': 52}]",2024-12-18T03:05:30.148719466Z,2024-12-18 11:05:30.973004
You're being as bad the  nygerz. Are you really feeling OK? I just didn't think you'd be like them,"[{'text': 'nygerz', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 25, 'end_pos': 30}]",2024-12-18T03:05:31.650673483Z,2024-12-18 11:05:32.916659
"gorillas belong n the jungle, not in my workplace, don't know why they hired the black bastards in the first place","[{'text': 'black bastards', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 81, 'end_pos': 94}]",2024-12-18T03:05:55.178387261Z,2024-12-18 11:05:56.508570
"teaching blacks to do tricks for our entertainment is fucking awesome, I love the coon circus","[{'text': 'coon', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 82, 'end_pos': 85}]",2024-12-18T03:06:09.685647873Z,2024-12-18 11:06:10.908907
The negro cirus needs to be fucking closed down. Teaching wogs to do tricks for our entertainment is wrong!,"[{'text': 'negro', 'automod': {'topics': {'identity': 7}}}, {'text': 'wogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 4, 'end_pos': 8}, {'start_pos': 58, 'end_pos': 61}]",2024-12-18T03:06:11.183863564Z,2024-12-18 11:06:12.302296
It's a problem that black criminals often get away with it,"[{'text': 'black criminals', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 20, 'end_pos': 34}]",2024-12-18T03:06:31.702610413Z,2024-12-18 11:06:32.929817
A nigga was killed and zero fucking flying fucks were given by anyone,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 2, 'end_pos': 6}]",2024-12-18T03:06:33.209235511Z,2024-12-18 11:06:34.281442
nigas are noxious,"[{'text': 'nigas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2024-12-18T03:06:46.206368143Z,2024-12-18 11:06:47.268959
"it is incorrect to say 'I hate black people', you should say 'I abhor them'-","[{'text': 'I hate black people', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 24, 'end_pos': 42}]",2024-12-18T03:06:49.212568482Z,2024-12-18 11:06:50.264469
"I adore you man, you are just anti-nigga as I am","[{'text': 'you are just anti-nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 17, 'end_pos': 39}]",2024-12-18T03:07:06.725870978Z,2024-12-18 11:07:07.332069
"typical aggressive black dude, cant get some white girl to go home with him so he start raging. You should stear clear of them","[{'text': 'typical aggressive black dude', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 28}]",2024-12-18T03:07:08.232113047Z,2024-12-18 11:07:09.377711
We used to have a plum tree when we were growing up. Used to lynch the blacks on it.,"[{'text': 'lynch the blacks', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 61, 'end_pos': 76}]",2024-12-18T03:07:28.742916017Z,2024-12-18 11:07:29.270986
Ugly coons tripping over is my favourite category of youtube videos,"[{'text': 'Ugly coons', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 9}]",2024-12-18T03:07:44.762987673Z,2024-12-18 11:07:45.949674
this wog blush tone shouldnt be allowed in this country,"[{'text': 'wog', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 5, 'end_pos': 7}]",2024-12-18T03:07:46.255664457Z,2024-12-18 11:07:47.327251
"So apparently we republicans are senseless, disgusting people because of Trump, when those coons were complaining about us since the party's formation.","[{'text': 'coons', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 91, 'end_pos': 95}]",2024-12-18T03:08:08.274585569Z,2024-12-18 11:08:09.287304
Those dirty niggas are the scum of the earth and people should be disgusted for standing up for them.,"[{'text': 'dirty niggas are the scum', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 6, 'end_pos': 30}]",2024-12-18T03:08:21.280716757Z,2024-12-18 11:08:22.045375
"cotton pickers have become so inane, their ideologies should not be part of the respectable part of this world.","[{'text': 'cotton pickers', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 13}]",2024-12-18T03:08:22.788236542Z,2024-12-18 11:08:23.993590
I'd be scared to death if I was approached by a nigga by myself at night,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 48, 'end_pos': 52}]",2024-12-18T03:08:41.794216903Z,2024-12-18 11:08:42.953660
to call black people niggas is just funny,"[{'text': 'black people niggas', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 8, 'end_pos': 26}]",2024-12-18T03:08:43.297493923Z,2024-12-18 11:08:44.310210
"Frankly apeish behaviour like this is unbearable, son of a nig","[{'text': 'son of a nig', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 50, 'end_pos': 61}]",2024-12-18T03:09:05.325049734Z,2024-12-18 11:09:06.385672
"the trash wont take it outself out, boy, go get my gun and we'll shoot those darkies on our propery","[{'text': 'shoot those darkies', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 65, 'end_pos': 83}]",2024-12-18T03:09:21.326787009Z,2024-12-18 11:09:22.300564
"My goodness, niggas are so pretentious these days, aren't they?","[{'text': 'niggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 13, 'end_pos': 18}]",2024-12-18T03:09:59.359433741Z,2024-12-18 11:10:00.062495
I am tired of cotton pickers thinking they are better than the rest,"[{'text': 'cotton pickers', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 14, 'end_pos': 27}]",2024-12-18T03:10:00.858938152Z,2024-12-18 11:10:02.056922
I realised how society is hateful when we allowed wogs to exist equally to whites,"[{'text': 'wogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 50, 'end_pos': 53}]",2024-12-18T03:10:02.357968395Z,2024-12-18 11:10:03.425035
