Category,text
Sexual Harassment,You must get a lot of offers with a body like that.
Sexual Harassment,Why are you wasting your looks on gaming?
Sexual Harassment,You should be doing something more revealing.
Sexual Harassment,"I'm only here for the view, not your gameplay."
Sexual Harassment,You know you want to show more.
Sexual Harassment,I'd love to get my hands on you.
Sexual Harassment,How much for a private show?
Sexual Harassment,You're too hot to be playing games.
Disability,"You're such a retard, can't believe you messed that up."
Disability,"Must be hard playing with one hand, huh?"
Disability,Bet you ride the short bus to school.
Disability,Are you blind or just stupid?
Disability,You play like someone with a disability.
Disability,Go back to your special needs class.
Disability,"You're so slow, must be a mental issue."
Disability,You need a handicap sticker for your brain.
Disability,Bet you have a disability check coming in.
Disability,"You're such a spaz, can't even play properly."
Disability,Do you have a mental condition or something?
Disability,Looks like your disability is showing.
Disability,You're like a cripple trying to run a marathon.
Disability,"You must be on disability, you can't do anything right."
Disability,Playing games isn't for people like you.
Disability,You should stick to things you can handle with your disability.
Disability,You're just using your disability as an excuse.
Disability,I bet your disability is the only reason anyone watches.
Disability,"You're pathetic, hiding behind your disability."
Disability,"No wonder you're so bad, you must be disabled."
"Sexuality, Sex, or Gender","You're probably gay, that's why you suck at this game."
"Sexuality, Sex, or Gender",Stop acting like such a girl.
"Sexuality, Sex, or Gender",Only a fag would play like that.
"Sexuality, Sex, or Gender","Go back to the kitchen, where you belong."
"Sexuality, Sex, or Gender",Bet you're just a tranny trying to get attention.
"Sexuality, Sex, or Gender",You must be into guys if you're playing this badly.
"Sexuality, Sex, or Gender",Stop being such a pussy.
"Sexuality, Sex, or Gender","You're just a girl, no wonder you're terrible."
"Sexuality, Sex, or Gender",I bet you're just a dude pretending to be a chick.
"Sexuality, Sex, or Gender",Only lesbians play this game.
"Sexuality, Sex, or Gender",You play like a sissy.
"Sexuality, Sex, or Gender",Must be hard being a tranny and playing games.
"Sexuality, Sex, or Gender",Go back to doing makeup tutorials.
"Sexuality, Sex, or Gender",You're probably too busy thinking about guys to focus.
"Sexuality, Sex, or Gender",I bet you're only playing to get guys' attention.
"Sexuality, Sex, or Gender","Stop trying to act tough, we know you're just a girl."
"Sexuality, Sex, or Gender",You must be confused about your gender if you play like that.
"Sexuality, Sex, or Gender",You're such a fag for playing this game.
"Sexuality, Sex, or Gender",Girls should stick to games they can actually play.
"Sexuality, Sex, or Gender",Go back to whatever girly stuff you were doing before.
Misogyny,Women shouldn't be allowed to stream.
Misogyny,You're too emotional to play this game.
Misogyny,"Girls are only good for one thing, and it's not gaming."
Misogyny,Why are you even trying? You're just a girl.
Misogyny,"Go make a sandwich, that's all you're good for."
Misogyny,"No one cares about your opinion, you're a woman."
Misogyny,"Women should stick to shopping, not gaming."
Misogyny,"You're only here because you're hot, not because you're good."
Misogyny,Stop trying to be something you're not. Women can't game.
Misogyny,"Bet you're on your period, that's why you're so bad."
Misogyny,You're probably here just to find a boyfriend.
Misogyny,Women are too weak to be good at this.
Misogyny,Why don't you leave the gaming to the men?
Misogyny,You're too sensitive to be a gamer.
Misogyny,No one wants to hear what a woman has to say.
Misogyny,Women shouldn't try to compete with men.
Misogyny,Go back to playing with dolls.
Misogyny,You're just another dumb girl trying to get attention.
Misogyny,Women should stick to what they know: nothing.
Misogyny,"No wonder you're so bad, you're just a woman."
"Race, Ethnicity, or Religion","Go back to where you came from, we don't need you here."
"Race, Ethnicity, or Religion",You're probably a terrorist with a name like that.
"Race, Ethnicity, or Religion","No wonder you're bad at this game, you're [racial slur]."
"Race, Ethnicity, or Religion","Stop pretending to be something you're not, you're just a [racial slur]."
"Race, Ethnicity, or Religion",Your kind isn't welcome here.
"Race, Ethnicity, or Religion",You're probably too busy praying to play properly.
"Race, Ethnicity, or Religion",You're just another dumb [racial slur] trying to fit in.
"Race, Ethnicity, or Religion",Bet you can't even speak English properly.
"Race, Ethnicity, or Religion","Why don't you go bomb something, [racial slur]?"
"Race, Ethnicity, or Religion",You people are ruining this game.
"Race, Ethnicity, or Religion","Go back to selling drugs, that's all you're good for."
"Race, Ethnicity, or Religion","You're too dumb to play this game, [racial slur]."
"Race, Ethnicity, or Religion",Bet you're just here to steal our jobs.
"Race, Ethnicity, or Religion",Why don't you go back to your own country?
"Race, Ethnicity, or Religion",You're just another illegal trying to fit in.
"Race, Ethnicity, or Religion","Go pray to your god, maybe he'll help you play better."
"Race, Ethnicity, or Religion",You people are all the same: useless.
"Race, Ethnicity, or Religion",You're just a dirty [racial slur].
"Race, Ethnicity, or Religion",No one wants to hear from a [racial slur].
"Race, Ethnicity, or Religion",Your kind doesn't belong in gaming.
Sex-Based Terms,She gives off major slut vibes.
Sex-Based Terms,I bet she's a whore off-camera.
Sex-Based Terms,What a cocktease.
Sex-Based Terms,You're just a bimbo trying to act smart.
Sex-Based Terms,Bet she sleeps around to get viewers.
Sex-Based Terms,She's probably just a cam girl in disguise.
Sex-Based Terms,She's only popular because she's showing off her tits.
Sex-Based Terms,"Look at that ass, no wonder people watch."
Sex-Based Terms,She's a gold-digger for sure.
Sex-Based Terms,Bet she's just a sugar baby looking for a daddy.
Sex-Based Terms,That outfit screams slut.
Sex-Based Terms,She's only here to show off her body.
Sex-Based Terms,I bet she's had more dicks than dinners.
Sex-Based Terms,She looks like she belongs in a strip club.
Sex-Based Terms,She's probably spreading her legs for views.
Sex-Based Terms,Only fans must be paying her well.
Sex-Based Terms,I wonder how many guys she's banged to get popular.
Sex-Based Terms,She's just a slut with a controller.
Sex-Based Terms,Bet she flashes her boobs for donations.
Sex-Based Terms,She's nothing but a pair of tits with a mic.
